Line number,Character,Place,Time,Line,Word count,sentiment_sc
42,Pumpkin,int. coffee shop,morning,That was a good idea,5,0.4404
43,Honey Bunny,int. coffee shop,morning,Thanks,1,0.4404
45,Honey Bunny,int. coffee shop,morning,Yes we did,3,0.4019
48,Pumpkin,int. coffee shop,morning,Pretty smart huh,3,0.7096
49,Honey Bunny,int. coffee shop,morning,Pretty smart Im ready lets go right here right now,10,0.8126
52,Honey Bunny,int. coffee shop,morning,I love you Pumpkin,4,0.6369
53,Pumpkin,int. coffee shop,morning,I love you Honey Bunny,5,0.6369
54,Pumpkin,int. coffee shop,morning,Everybody be cool this is a robbery,7,0.3182
55,Honey Bunny,int. coffee shop,morning,Any of you fuckin pricks move and Ill execute every one of you motherfuckers Got that,16,-0.5719
56,Jules,int. '74 Chevy (moving),morning, Okay now tell me about the hash bars,8,0.2263
57,Vincent,int. '74 Chevy (moving),morning,What so you want to know,6,0.1477
58,Jules,int. '74 Chevy (moving),morning,Well hash is legal there right,6,0.3818
59,Vincent,int. '74 Chevy (moving),morning,Yeah its legal but is aint a hundred percent legal I mean you cant walk into a restaurant roll a joint and start puffin away Youre only supposed to smoke in your home or certain designated places,37,0.6428
61,Vincent,int. '74 Chevy (moving),morning,Yeah it breaks down like this its legal to buy it its legal to own it and if youre the proprietor of a hash bar its legal to sell it Its legal to carry it which doesnt really matter cause  get a load of this  if the cops stop you its illegal for this to search you Searching you is a right that the cops in Amsterdam dont have,69,0.1554
63,Vincent,int. '74 Chevy (moving),morning,Youll dig it the most But you know what the funniest thing about Europe is,15,0.7096
65,Vincent,int. '74 Chevy (moving),morning,Its the little differences A lotta the same shit we got here they got there but there theyre a little different,21,-0.3182
67,Vincent,int. '74 Chevy (moving),morning,Well in Amsterdam you can buy beer in a movie theatre And I dont mean in a paper cup either They give you a glass of beer like in a bar In Paris you can buy beer at MacDonalds Also you know what they call a Quarter Pounder with Cheese in Paris,52,0.5574
69,Vincent,int. '74 Chevy (moving),morning,No they got the metric system there they wouldnt know what the fuck a Quarter Pounder is,17,-0.6908
78,Jules,int. '74 Chevy (moving),morning,Goddamn,1,-0.4767
79,Vincent,int. '74 Chevy (moving),morning,I seen em do it And I dont mean a little bit on the side of the plate they fuckin drown em in it,24,-0.5719
85,Jules,int. Chevy (trunk),morning,Im not sure,3,-0.2411
90,Jules,ext. apartment building courtyard,morning,Mia,1,-0.296
96,Jules,ext. apartment building courtyard,morning,Well you know the shows on TV,7,0.2732
98,Jules,ext. apartment building courtyard,morning,Yes but youre aware that theres an invention called television and on that invention they show shows,17,0.2144
99,Vincent,ext. apartment building courtyard,morning,Yeah,1,0.296
100,Jules,ext. apartment building courtyard,morning,Well the way they pick the shows on TV is they make one show and that shows called a pilot And they show that one show to the people who pick the shows and on the strength of that one show they decide if they want to make more shows Some get accepted and become TV programs and some dont and become nothing She starred in one of the ones that became nothing,73,0.7717
101,Jules,int. reception area (apartment building),morning,You remember Antwan Rockamora Half black halfSamoan usta call him Tony Rocky Horror,13,-0.5719
102,Vincent,int. reception area (apartment building),morning,Yeah maybe fat right,4,0.296
103,Jules,int. reception area (apartment building),morning,I wouldnt go so far as to call the brother fat Hes got a weight problem Whats the nigger gonna do hes Samoan,23,-0.7906
105,Jules,int. reception area (apartment building),morning,Well Marsellus fucked his ass up good And word around the campfire it was on account of Marsellus Wallaces wife,20,-0.5994
106,Vincent,int. elevator,morning,Whatd he do fuck her,5,-0.5423
107,Jules,int. elevator,morning,No no no no no no no nothin that bad,10,-0.9423
108,Vincent,int. elevator,morning,Well what then,3,0.2732
113,Jules,int. elevator,morning,Sent a couple of guys over to his place They took him out on the patio of his apartment threw his ass over the balcony Nigger fell four stories They had this garden at the bottom enclosed in glass like one of them greenhouses  nigger fell through that Since then hes kinda developed a speech impediment,56,-0.891
114,Vincent,int. elevator,morning,Thats a damn shame,4,-0.7003
115,Vincent,int. apartment building hallway,morning,Still I hafta say play with matches ya get burned,10,0.34
118,Jules,int. apartment building hallway,morning,You dont think he overreacted,5,0.3089
119,Vincent,int. apartment building hallway,morning,Antwan probably didnt expect Marsellus to react like he did but he had to expect a reaction,17,0.1901
121,Vincent,int. apartment building hallway,morning,Its laying hands on Marsellus Wallaces new wife in a familiar way Is it as bad as eatin her out  no but youre in the same fuckin ballpark,28,-0.431
122,Jules,int. apartment building hallway,morning,Whoa whoa whoa stop right there Eatin a bitch out and givin a bitch a foot massage aint even the same fuckin thing,23,-0.8689
124,Jules,int. apartment building hallway,morning,It aint no ballpark either Look maybe your method of massage differs from mine but touchin his ladys feet and stickin your tongue in her holyiest of holyies aint the same ballpark aint the same league aint even the same fuckin sport Foot massages dont mean shit,47,0.652
128,Jules,int. apartment building hallway,morning,Shit yeah I got my technique down man I dont tickle or nothin,13,-0.34
130,Jules,int. apartment building hallway,morning,Fuck you,2,-0.5423
132,Jules,int. apartment building hallway,morning,Fuck you,2,-0.5423
133,Vincent,int. apartment building hallway,morning,Would you give me a foot massage  Im kinda tired,10,-0.3832
138,Jules,int. apartment building hallway,morning,Look just because I wouldnt give no man a foot massage dont make it right for Marsellus to throw Antwan off a building into a glass motherfuckinhouse fuckin up the way the nigger talks That aint right man Motherfucker do that to me he better paralyze my ass cause Id killa motherfucker,52,-0.7139
139,Vincent,int. apartment building hallway,morning,Im not sayin he was right but youre sayin a foot massage dont mean nothing and Im sayin it does Ive given a million ladies a million foot massages and they all meant somethin We act like they dont but they do Thats whats so fuckin cool about em This sensual things goin on that nobodys talkin about but you know it and she knows it fuckin Marsellus knew it and Antwan shoulda known fuckin better Thats his fuckin wife man He aint gonna have a sense of humor about that shit,92,0.803
140,Jules,int. apartment building hallway,morning,Thats an interesting point but lets get into character,9,0.2144
142,Jules,int. apartment building hallway,morning,Mia Why you so interested in big mans wife,9,0.3163
143,Vincent,int. apartment building hallway,morning,Well Marsellus is leavin for Florida and when hes gone he wants me to take care of Mia,18,0.4767
144,Jules,int. apartment building hallway,morning,Take care of her,4,0.4939
145,Vincent,int. apartment building hallway,morning,Not that Take her out Show her a good time Dont let her get lonely,15,0.1027
146,Jules,int. apartment building hallway,morning,Youre gonna be takin Mia Wallace out on a date,10,-0.296
147,Vincent,int. apartment building hallway,morning,It aint a date Its like when you and your buddys wife go to a movie or somethin Its just you know good company,24,0.1999
152,Brett,int. apartment (room 49),morning,Were doin okay,3,0.2263
157,Jules,int. apartment (room 49),morning,I thought so Well you remember your business partner Marsellus Wallace dontya Brett,13,0.3384
159,Jules,int. apartment (room 49),morning,Good for you Looks like me and Vincent caught you at breakfast sorry bout that Whatcha eatin,17,0.6249
163,Jules,int. apartment (room 49),morning,No I mean where did you getem MacDonalds Wendys Jackinthe Box where,12,-0.296
166,Brett,int. apartment (room 49),morning,Theyre good,2,0.4404
168,Brett,int. apartment (room 49),morning,No,1,-0.296
170,Brett,int. apartment (room 49),morning,Yeah,1,0.296
172,Vincent,int. apartment (room 49),morning,No,1,-0.296
173,Jules,int. apartment (room 49),morning,You wanna bite theyre real good,6,0.4404
175,Jules,int. apartment (room 49),morning,Well if you like hamburgers give em a try sometime Me I cant usually eat em cause my girlfriends a vegetarian Which more or less makes me a vegetarian but I sure love the taste of a good burger You know what they call a Quarter Pounder with Cheese in France,51,0.9423
176,Brett,int. apartment (room 49),morning,No,1,-0.296
181,Jules,int. apartment (room 49),morning,Check out the big brain on Brett Youa smart motherfucker thats right The metric system Whats in this,18,-0.4404
183,Jules,int. apartment (room 49),morning,Sprite good mind if I have some of your tasty beverage to wash this down with,16,0.4404
184,Brett,int. apartment (room 49),morning,Sure,1,0.3182
186,Jules,int. apartment (room 49),morning,Then why dont you tell my boy here Vince where you got the shit hid,15,0.8402
188,Jules,int. apartment (room 49),morning, I dont remember askin you a goddamn thing You were sayin,11,-0.4767
191,Jules,int. apartment (room 49),morning,We happy,2,0.5719
193,Jules,int. apartment (room 49),morning,We happy,2,0.5719
194,Vincent,int. apartment (room 49),morning,Were happy,2,0.5719
196,Jules,int. apartment (room 49),morning,My names Pitt and you aint talkin your ass outta this shit,12,-0.1901
197,Brett,int. apartment (room 49),morning,I just want you to know how sorry we are about how fucked up things got between us and Mr Wallace When we entered into this thing we only had the best intentions ,33,-0.0516
198,Jules,int. apartment (room 49),morning,Oh Im sorry Did that break your concentration I didnt mean to do that Please continue I believe you were saying something about best intentions,25,0.7351
199,Jules,int. apartment (room 49),morning,Whatsamatter Oh you were through anyway Well let me retort Would you describe for me what Marsellus Wallace looks like,20,0.5574
202,Jules,int. apartment (room 49),morning,What aint no country I know Do they speak English in What,12,0.2235
205,Brett,int. apartment (room 49),morning,Yes,1,0.4019
207,Brett,int. apartment (room 49),morning,Yes,1,0.4019
208,Jules,int. apartment (room 49),morning,Now describe what Marsellus Wallace looks like,7,0.3612
210,Jules,int. apartment (room 49),morning,Say What again Cmon say What again I dare ya I double dare ya motherfucker say What one more goddamn time,21,-0.8399
211,Jules,int. apartment (room 49),morning,Now describe to me what Marsellus Wallace looks like,9,0.3612
212,Brett,int. apartment (room 49),morning,Well hes hes black ,4,0.2732
215,Jules,int. apartment (room 49),morning, does he look like a bitch,6,-0.3182
218,Brett,int. apartment (room 49),morning,No,1,-0.296
219,Jules,int. apartment (room 49),morning,Then why did you try to fuck im like a bitch,11,-0.7003
221,Jules,int. apartment (room 49),morning,Yes ya did Brett Ya tried ta fuck im You ever read the Bible Brett,15,-0.2023
222,Brett,int. apartment (room 49),morning,Yes,1,0.4019
223,Jules,int. apartment (room 49),morning,Theres a passage I got memorized seems appropriate for this situation Ezekiel  The path of the righteous man is beset on all sides by the inequities of the selfish and the tyranny of evil men Blessed is he who in the name of charity and good will shepherds the weak through the valley of darkness for he is truly his brothers keeper and the finder of lost children And I will strike down upon thee with great vengeance and furious anger those who attempt to poison and destroy my brothers And you will know my name is the Lord when I lay my vengeance upon you,107,-0.9186
224,Marsellus,int. apartment (room 49),morning,I think youre gonna find  when all this shit is over and done  I think youre gonna find yourself one smilin motherfucker Thing is Butch right now you got ability But painful as it may be ability dont last Now thats a hard motherfuckin fact of life but its a fact of life your ass is gonna hafta git realistic about This business is filled to the brim with unrealistic motherfuckers who thought their ass aged like wine Besides even if you went all the way what would you be Featherweight champion of the world Who gives a shit I doubt you can even get a credit card based on that,111,-0.9313
225,Marsellus,int. apartment (room 49),morning,Now the night of the fight you may fell a slight sting thats pride fuckin wit ya Fuck pride Pride only hurts it never helps Fight through that shit Cause a year from now when youre kickin it in the Caribbean youre gonna say Marsellus Wallace was right,48,-0.765
226,Butch,int. apartment (room 49),morning,I got no problem with that,6,-0.5994
227,Marsellus,int. apartment (room 49),morning,In the fifth your ass goes down,7,-0.5423
229,Butch,int. apartment (room 49),morning,In the fifth my ass goes down,7,-0.5423
230,English Dave,ext. Sally LeRoy's,day,Vincent Vega our man in Amsterdam git your ass on in here,12,-0.5423
233,English Dave,int. Sally LeRoy's,day,Hang back for a second or two and when you see the white boy leave go on over In the meanwhile can I make you an espresso,27,-0.0516
235,English Dave,int. Sally LeRoy's,day,Comin up I hear youre taking Mia out tomorrow,9,-0.296
237,English Dave,int. Sally LeRoy's,day,Have you met Mia,4,-0.296
239,Vincent,int. Sally LeRoy's,day,Whats so funny,3,0.4927
240,English Dave,int. Sally LeRoy's,day,Not a goddamn thing,4,0.3724
241,Vincent,int. Sally LeRoy's,day,Look Im not a idiot Shes the big mans fuckin wife Im gonna sit across a table chew my food with my mouth closed laugh at her jokes and thats all Im gonna do,34,0.8075
246,Butch,int. Sally LeRoy's,day,Lookin at somethin friend,4,0.4939
247,Vincent,int. Sally LeRoy's,day,I aint your friend palooka,5,-0.3875
249,Vincent,int. Sally LeRoy's,day,I think ya heard me just fine punchy,8,0.2023
250,Marsellus,int. Sally LeRoy's,day,Vincent Vega has entered the building git your ass over here,11,-0.5423
252,Jody,int. Lance's house (kitchen),night,Ill lend it to you Its a great book on body piercing,12,0.3182
253,Trudi,int. Lance's house (kitchen),night,You know how they use that gun when they pierce your ears They dont use that when they pierce your nipples do they,23,-0.34
254,Jody,int. Lance's house (kitchen),night,Forget that gun That gun goes against the entire idea behind piercing All of my piercing sixteen places on my body every one of em done with a needle Five in each ear One through the nipple on my left breast One through my right nostril One through my left eyebrow One through my lip One in my clit And I wear a stud in my tongue,67,-0.6908
255,Vincent,int. Lance's house (kitchen),night,Excuse me sorry to interrupt Im curious why would you get a stud in your tongue,16,-0.0258
256,Jody,int. Lance's house (kitchen),night,Its a sex thing It helps fellatio,7,0.3818
258,Lance,int. Lance's bedroom,night,Now this is Panda from Mexico Very good stuff This is Bava different but equally good And this is Choco from the Hartz Mountains of Germany Now the first two are the same forty five an ounce  those are friend prices  but this one this ones a little more expensive Its fiftyfive But when you shoot it youll know where that extra money went Nothing wrong with the first two Its real real real good shit But this ones a fuckin madman,82,0.8835
260,Lance,int. Lance's bedroom,night,Am I a nigger Are you in Inglewood No Youre in my house White people who know the difference between good shit and bad shit this is the house they come to My shit Ill take the Pepsi Challenge with Amsterdam shit any ol day of the fuckin week,49,-0.975
261,Vincent,int. Lance's bedroom,night,Thats a bold statement,4,0.3818
262,Lance,int. Lance's bedroom,night,This aint Amsterdam Vince This is a sellers market Coke is fuckin dead as disco Heroins comin back in a big fuckin way Its this whole seventies retro Bell bottoms heroin theyre as hot as hell,36,-0.9201
263,Vincent,int. Lance's bedroom,night,Give me three hundred worth of the madman If its as good as you say Ill be back for a thousand,21,0.25
264,Lance,int. Lance's bedroom,night,I just hope I still have it Whaddya think of Trudi She aint got a boyfriend wanna hand out an get high,22,0.7269
265,Vincent,int. Lance's bedroom,night,Which ones Trudi The one with all the shit in her face,12,0.6124
266,Lance,int. Lance's bedroom,night,No thats Jody Thats my wife,6,-0.296
267,Vincent,int. Lance's bedroom,night,Im on my way somewhere I got a dinner engagement Rain check,12,0.4588
268,Lance,int. Lance's bedroom,night,No problem,2,-0.5994
269,Vincent,int. Lance's bedroom,night,You dont mind if I shoot up here,8,0.2584
273,Vincent,int. Lance's bedroom,night,You know what some fucker did to it the other day,11,-0.6486
276,Lance,int. Lance's bedroom,night,Oh man thats fucked up,5,-0.6597
277,Vincent,int. Lance's bedroom,night,Tell me about it I had the goddamn thing in storage three years Its out five fuckin days  five days and some dickless piece of shit fucks with it,29,-0.8689
278,Lance,int. Lance's bedroom,night,They should be fuckin killed No trial no jury straight to execution,12,-0.7906
279,Vincent,int. Lance's bedroom,night,I just wish I caught em doin it ya know Oh man Id give anything to catch em doin it Ita been worth his doin it if I coulda just caught em you know what I mean,37,0.5574
280,Lance,int. Lance's bedroom,night,Its chicken shit You dont fuck another mans vehicle,9,-0.1901
287,Mia,int. Marsellus' house / living room,night,warm Warmer Disco,3,0.4767
289,Mia,int. Marsellus' house / living room,night,Push the button if you want to talk,8,0.0772
291,Mia,int. Marsellus' house / dressing room,night,Go make yourself a drink and Ill be down in two shakes of a lambs tail,16,-0.4215
293,Vincent,int. Marsellus' house / living room,night,Okay,1,0.2263
295,Vincent,ext. Jackrabbit Slim's,night,What the fuck is this place,6,-0.5423
296,Mia,ext. Jackrabbit Slim's,night,This is Jackrabbit Slims An Elvis man should love it,10,0.6369
297,Vincent,ext. Jackrabbit Slim's,night,Come on Mia lets go get a steak,8,-0.296
301,Vincent,int. Jackrabbit Slim's,night,Ill have the Douglas Sirk steak,6,-0.4215
302,Buddy,int. Jackrabbit Slim's,night,How dya want it burnt to a crisp or bloody as hell,12,-0.802
303,Vincent,int. Jackrabbit Slim's,night,Bloody as hell And to drink a vanilla coke,9,-0.8176
305,Mia,int. Jackrabbit Slim's,night,Ill have the Durwood Kirby burger  bloody  and a fivedollar shake,11,-0.7506
306,Buddy,int. Jackrabbit Slim's,night,How dya want that shake Martin and Lewis or Amos and Andy,12,-0.1027
308,Vincent,int. Jackrabbit Slim's,night,Did you just order a fivedollar shake,7,-0.1779
309,Mia,int. Jackrabbit Slim's,night,Sure did,2,0.3182
310,Vincent,int. Jackrabbit Slim's,night,A shake Milk and ice cream,6,-0.1779
313,Buddy,int. Jackrabbit Slim's,night,Yep,1,0.296
318,Vincent,int. Jackrabbit Slim's,night,Its like a wax museum with a pulse rate,9,0.3612
323,Mia,int. Jackrabbit Slim's,night,Oh Well in that case will you roll me one cowboy,11,0.2732
325,Mia,int. Jackrabbit Slim's,night,Thanks,1,0.4404
328,Vincent,int. Jackrabbit Slim's,night,Sure did I heard you did a pilot,8,0.3182
333,Mia,int. Jackrabbit Slim's,night,Fox Force Five Fox as in were a bunch of foxy chicks Force as in were a force to be reckoned with Five as in theres one two  three four five of us There was a blonde one Sommerset ONeal from that show Baton Rouge she was the leader A Japanese one a black one a French one and a brunette one me We all had special skills Sommerset had a photographic memory the Japanese fox was a kung fu master the black girl was a demolition expert the French fox specialty was sex,95,-0.4588
335,Mia,int. Jackrabbit Slim's,night,Knives The character I played Raven McCoy her background was she was raised by circus performers So she grew up doing a knife act According to the show she was the deadliest woman in the world with a knife But because she grew up in a circus she was also something of an acrobat She could do illusions she was a trapeze artist  when youre keeping the world safe from evil you never know when being a trapeze artists gonna come in handy And she knew a zillion old jokes her grandfather an old vaudevillian taught her If we woulda got picked up they woulda worked in a gimmick where every episode I woulda told and ol joke,118,0.4118
336,Vincent,int. Jackrabbit Slim's,night,Do you remember any of the jokes,7,0.25
337,Mia,int. Jackrabbit Slim's,night,Well I only got the chance to say one cause we only did one show,15,0.4767
339,Mia,int. Jackrabbit Slim's,night,No Its really corny,4,-0.296
341,Mia,int. Jackrabbit Slim's,night,No You wont like it and Ill be embarrassed,9,-0.8229
342,Vincent,int. Jackrabbit Slim's,night,You told it in front of fifty million people and you cant tell it to me I promise I wont laugh,21,-0.1591
345,Mia,int. Jackrabbit Slim's,night,Youre quite the silver tongue devil arent you,8,-0.6597
346,Vincent,int. Jackrabbit Slim's,night,I meant I wouldnt laugh at you,7,-0.4449
347,Mia,int. Jackrabbit Slim's,night,Thats not what you said Vince Well now Im definitely not gonna tell ya cause its been built up too much,21,0.5859
349,Mia,int. Jackrabbit Slim's,night,Yummy,1,0.5267
350,Vincent,int. Jackrabbit Slim's,night,Can I have a sip of that Id like to know what a fivedollar shake tastes like,17,0.5106
353,Vincent,int. Jackrabbit Slim's,night,Yeah but maybe I do,5,0.1531
355,Vincent,int. Jackrabbit Slim's,night,Goddamn Thats a pretty fuckin good milk shake,8,0.3182
357,Vincent,int. Jackrabbit Slim's,night,I dont know if its worth five dollars but its pretty fuckin good,13,0.8625
358,Mia,int. Jackrabbit Slim's,night,Dont you hate that,4,0.4585
360,Mia,int. Jackrabbit Slim's,night,Uncomfortable silences Why do we feel its necessary to yak about bullshit in order to be comfortable,17,-0.4767
362,Mia,int. Jackrabbit Slim's,night,Thats when you know you found somebody special When you can just shit the fuck up for a minute and comfortably share silence,23,-0.1027
363,Vincent,int. Jackrabbit Slim's,night,I dont think were there yet But dont feel bad we just met each other,15,0.5824
364,Mia,int. Jackrabbit Slim's,night,Well Ill tell you what Ill go to the bathroom and powder my nose while you sit here and think of something to say,24,-0.5423
365,Vincent,int. Jackrabbit Slim's,night,Ill do that,3,-0.4215
366,Mia,int. Jackrabbit Slim's (ladies room),night,I said goddamn,3,-0.4767
367,Mia,int. Jackrabbit Slim's (dining area),night,Dont you love it when you go to the bathroom and you come back to find your food waiting for you,21,-0.5216
368,Vincent,int. Jackrabbit Slim's (dining area),night,Were lucky we got it at all Buddy Holly doesnt seem to be much of a waiter We shoulda sat in Marilyn Monroes section,24,0.4215
370,Vincent,int. Jackrabbit Slim's (dining area),night,No theres not,3,-0.296
373,Mia,int. Jackrabbit Slim's (dining area),night,Pretty smart,2,0.7096
376,Vincent,int. Jackrabbit Slim's (dining area),night,Actually theres something Ive wanted to ask you about but you seem like a nice person and I didnt want to offend you,23,0.838
377,Mia,int. Jackrabbit Slim's (dining area),night,Oooohhhh this doesnt sound like mindless boring gettingtoknow you chitchat This sounds like you actually have something to say,19,-0.4791
378,Vincent,int. Jackrabbit Slim's (dining area),night,Only if you promise not to get offended,8,0.466
379,Mia,int. Jackrabbit Slim's (dining area),night,You cant promise something like that I have no idea what youre gonna ask You could ask me what youre gonna ask me and my natural response could be to be offended Then through no fault of my own I woulda broken my promise,44,-0.9142
380,Vincent,int. Jackrabbit Slim's (dining area),night,Then lets just forget it,5,-0.2263
381,Mia,int. Jackrabbit Slim's (dining area),night,That is an impossibility Trying to forget anything as intriguing as this would be an exercise in futility,18,-0.2263
383,Mia,int. Jackrabbit Slim's (dining area),night,Besides its more exciting when you dont have permission,9,0.5413
386,Vincent,int. Jackrabbit Slim's (dining area),night,Tony Rocky Horror,3,-0.5719
390,Vincent,int. Jackrabbit Slim's (dining area),night,No its not its just what I heard,8,-0.296
394,Vincent,int. Jackrabbit Slim's (dining area),night,They certainly do,3,0.34
395,Mia,int. Jackrabbit Slim's (dining area),night,Well dont by shy Vincent what exactly did they say,10,0.4291
396,Mia,int. Jackrabbit Slim's (dining area),night,Let me help you Bashful did it involve the Fword,10,0.3818
397,Vincent,int. Jackrabbit Slim's (dining area),night,No They just said Rocky Horror gave you a foot massage,11,-0.7096
399,Vincent,int. Jackrabbit Slim's (dining area),night,No and thats it,4,-0.296
400,Mia,int. Jackrabbit Slim's (dining area),night,You heard Marsellus threw Rocky Horror out of a fourstory window because he massaged my feet,16,-0.5719
401,Vincent,int. Jackrabbit Slim's (dining area),night,Yeah,1,0.296
404,Mia,int. Jackrabbit Slim's (dining area),night,Marsellus throwing Tony out of a four story window for giving me a foot massage seemed reasonable,17,0.34
405,Vincent,int. Jackrabbit Slim's (dining area),night,No it seemed excessive But that doesnt mean it didnt happen I heard Marsellus is very protective of you,19,-0.1531
406,Mia,int. Jackrabbit Slim's (dining area),night,A husband being protective of his wife is one thing A husband almost killing another man for touching his wifes feet is something else,24,-0.6258
408,Mia,int. Jackrabbit Slim's (dining area),night,The only thing Antwan ever touched of mine was my hand when he shook it I met Anwan once  at my wedding  then never again The truth is nobody knows why Marsellus tossed Tony Rocky Horror out of that window except Marsellus and Tony Rocky Horror But when you scamps get together youre worse than a sewing circle,58,-0.8142
410,Ed Sullivan,int. Jackrabbit Slim's (dining area),night,One lucky couple will win this handsome trophy that Marilyn here is holding,13,0.8847
414,Vincent,int. Jackrabbit Slim's (dining area),night,No no no no no no no no,8,-0.9274
415,Mia,int. Jackrabbit Slim's (dining area),night,No no no no no no no I do believe Marsellus my husband your boss told you to take me out and do whatever I wanted Now I want to dance I want to win I want that trophy,39,-0.7717
417,Mia,int. Jackrabbit Slim's (dining area),night,So dance good,3,0.4902
421,Mia,int. Jackrabbit Slim's (dining area),night,Missus Mia Wallace,3,-0.296
425,Vincent,int. Marsellus Wallace's home,night,Was than an uncomfortable silence,5,-0.3818
427,Vincent,int. Marsellus Wallace's home,night,Im gonna take a piss,5,-0.4019
430,Vincent,int. bathroom (Marsellus Wallace's house),night,One drink and leave Dont be rude but drink your drink quickly say goodbye walk out the door get in your car and go down the road,27,0.163
431,Vincent,int. bathroom (Marsellus Wallace's house),night,Its a moral test of yourself whether or not you can maintain loyalty Because when people are loyal to each other thats very meaningful,24,0.8479
432,Vincent,int. bathroom (Marsellus Wallace's house),night,So youre gonna go out there drink your drink say Goodnight Ive had a very lovely evening go home and jack off And thats all youre gonna do,28,0.624
434,Vincent,int. Marsellus' house / living room,night,Mia MIA What the hell happened,6,-0.8668
435,Vincent,int. Marsellus' house / living room,night,Ill be a sonofabitch Mia MIA What did you take Answer me honey what did you take,17,-0.7865
436,Vincent,int. Marsellus' house / living room,night,Okay honey were getting you on your feet,8,0.2263
438,Preacher (Emil Simkus),int. Lance's house,night,Hold hands you love birds,5,0.6369
441,Jody,int. Lance's house,night,I thought you told those fuckin assholes never to call this late,12,-0.5859
443,Vincent,int. Vincent's malibu (moving),night,Lance this is Vincent Im in big fuckin trouble man Im on my way to your place,17,-0.4019
444,Lance,int. Lance's house,night,Whoa hold you horses man whats the problem,8,-0.4019
448,Lance,int. Lance's house,night,Dont bring her here Im not even fuckin joking with you dont you be bringing some fucked up poohbutt to my house,22,-0.7241
449,Vincent,int. Vincent's malibu (moving),night,No choice,2,-0.296
